ID,Carrera,Edad,PromedioNotas,HorasEstudioSemanal,Asistencia,Ciudad,Beca
1,Derecho,25,6.05,10,84,Santiago,No
2,Derecho,23,6.69,14,63,Valparaíso,Sí
3,Ingeniería,30,6.86,18,93,Valparaíso,No
4,Medicina,29,5.58,21,63,Concepción,No
5,Derecho,22,3.99,17,63,Valparaíso,No
6,Derecho,19,6.48,19,64,Valparaíso,No
7,Arquitectura,23,5.3,13,62,Puerto Montt,No
8,Informática,28,4.87,29,90,Santiago,No
9,Ingeniería,19,5.63,1,84,Concepción,No
10,Arquitectura,26,5.98,0,73,Concepción,No
11,Ingeniería,29,4.98,13,60,Santiago,No
12,Medicina,22,6.81,1,61,Valparaíso,No
13,Derecho,26,3.7,29,74,Puerto Montt,No
14,Medicina,25,6.28,29,90,Puerto Montt,No
15,Informática,22,6.65,35,67,Puerto Montt,Sí
16,Informática,20,6.33,28,52,Concepción,No
17,Arquitectura,18,4.25,23,85,Valparaíso,No
18,Medicina,28,4.03,10,78,Santiago,No
19,Ingeniería,25,6.9,25,82,Concepción,No
20,Derecho,18,5.75,32,78,Santiago,No
21,Arquitectura,30,3.7,33,57,Santiago,No
22,Derecho,21,3.66,16,66,Puerto Montt,No
23,Ingeniería,24,5.55,13,80,Concepción,Sí
24,Informática,18,4.75,12,51,Concepción,No
25,Medicina,20,4.81,9,97,Santiago,Sí
26,Medicina,18,4.3,37,92,Concepción,No
27,Informática,21,4.16,8,57,Valparaíso,No
28,Arquitectura,18,5.5,13,81,Valparaíso,No
29,Derecho,24,6.89,18,52,Puerto Montt,Sí
30,Ingeniería,18,3.89,40,79,Santiago,Sí
31,Informática,19,5.47,26,70,Concepción,No
32,Informática,24,4.52,5,60,Puerto Montt,No
33,Derecho,25,6.85,7,74,Santiago,No
34,Derecho,24,6.88,14,87,Valparaíso,Sí
35,Ingeniería,27,6.95,20,51,Concepción,Sí
36,Derecho,30,4.06,9,61,Concepción,Sí
37,Informática,30,4.38,24,68,Valparaíso,No
